,Haustyp,Angebotstyp,Wohnflaeche__m²_,Zimmer,plz,Verkaeufer,Baujahr,Preis,Grundstuecksflaeche__m²_,Provision,ExactPreis,Garten/_mitnutzung,Badewanne,Heizungsart,Dusche,Garage/Stellplatz,Keller,Moebliert/Teilmoebliert,Gaeste_WC,Terrasse,Aktuell_vermietet,Einbaukueche,Balkon,Barrierefrei,Einliegerwohnung,Dachboden,Nebenkosten__in_€_,Kaution__in_€_,Haustiere_erlaubt,Warmmiete__in_€_,Heizkosten__in_€_,WG_geeignet,Denkmalobjekt,Preis_pro_m2
0,einfamilienhaus,Angebot,160,6,33378,gewerblich,1928.0,90000.0,496.0,ja,270000.0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,0,0,562.5
1,mehrfamilienhaus,Angebot,160,8.0,65207,gewerblich,1968.0,134157.27471999358,589.0,nein,590000.0,1,1,zentralheizung,1,1,1,0,0,0,0,0,0,0,0,0,,,0,,,0,0,838.4829669999599
2,einfamilienhaus,Angebot,120,4,54647,gewerblich,1750.0,70000.0,75.0,ja,69000.0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,0,0,583.3333333333334
3,einfamilienhaus,Angebot,140,5,07646,gewerblich,2017.0,92467.64646737081,500.0,ja,229290.0,0,1,gasheizung,1,0,0,1,1,1,0,0,0,0,0,0,,,0,,,0,0,660.4831890526486
4,einfamilienhaus,Angebot,80,4,54597,gewerblich,1900.0,67569.87400868052,1472.0,ja,99000.0,0,0,zentralheizung,0,1,0,0,0,0,0,0,0,0,0,0,,,0,,,0,0,844.6234251085065
5,doppelhaushaelfte,Angebot,140,6,58507,gewerblich,1935.0,58691.44841718579,339.0,ja,155000.0,1,1,etagenheizung,1,0,1,0,0,0,1,0,0,0,0,0,,,0,,,0,0,419.2246315513271
6,einfamilienhaus,Angebot,160,8,54570,gewerblich,1908.0,60000.0,1200.0,ja,59000.0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,0,0,375.0
7,einfamilienhaus,Angebot,120,4,56479,gewerblich,,36736.54280553614,705.0,nein,245500.0,0,1,fussbodenheizung,0,1,0,0,1,0,0,0,0,0,0,0,,,0,,,0,0,306.1378567128012
8,einfamilienhaus,Angebot,160,5,41542,gewerblich,1979.0,1042.5585260467597,484.0,ja,250000.0,0,0,zentralheizung,0,1,1,0,0,1,0,1,0,0,0,0,,,0,,,0,0,6.515990787792248
9,bauernhaus,Angebot,160,6.0,67724,gewerblich,1920.0,76426.82050376765,1060.0,ja,220000.0,1,1,zentralheizung,1,1,1,0,0,1,0,1,0,0,0,0,,,0,,,0,0,477.6676281485478
10,mehrfamilienhaus,Angebot,160,5.0,67819,gewerblich,1993.0,33003.18817636445,220.0,ja,369000.0,0,1,zentralheizung,1,1,1,0,0,0,0,0,1,0,0,0,,,0,,,0,0,206.2699261022778
11,bauernhaus,Angebot,160,6.0,67724,gewerblich,1920.0,76426.82050376765,1060.0,ja,220000.0,1,1,zentralheizung,1,1,1,0,0,1,0,1,0,0,0,0,,,0,,,0,0,477.6676281485478
12,mehrfamilienhaus,Angebot,160,5.0,67819,gewerblich,1993.0,33003.18817636445,220.0,ja,369000.0,0,1,zentralheizung,1,1,1,0,0,0,0,0,1,0,0,0,,,0,,,0,0,206.2699261022778
13,einfamilienhaus,Angebot,160,5.0,53919,gewerblich,2015.0,60472.59811844809,574.0,ja,495000.0,0,1,zentralheizung,1,1,0,0,1,1,0,0,0,0,0,0,,,0,,,0,0,377.9537382403006
14,andere,Angebot,160,3.0,53783,gewerblich,1992.0,101965.76364068658,466.0,ja,85000.0,0,0,,1,1,0,0,0,0,0,0,0,0,0,0,,,0,,,0,0,637.2860227542911
15,einfamilienhaus,Angebot,160,9,48720,gewerblich,1924.0,67569.87400868052,234.0,ja,145000.0,0,0,zentralheizung,0,1,0,0,0,0,0,0,0,0,0,0,,,0,,,0,0,422.31171255425323
